AĐD	ẤN ĐỘ DƯƠNG
ADV	AN DƯƠNG VƯƠNG
BBD	BẮC BĂNG DƯƠNG
BHTQ	BÀ HUYỆN THANH QUAN
BMVNAH	BÀ MẸ VIỆT NAM ANH HÙNG
BRVT	BÀ RỊA VŨNG TÀU
BTX	BÙI THỊ XUÂN
CBQ	CAO BÁ QUÁT
CHND	CỘNG HÒA NHÂN DÂN
CMT8	CÁCH MẠNG THÁNG TÁM
CNCS	CHỦ NGHĨA CỘNG SẢN
CNĐQ	CHỦ NGHĨA ĐẾ QUỐC
CNPK	CHỦ NGHĨA PHONG KIẾN
CNTB	CHỦ NGHĨA TƯ BẢN
CNXH	CHỦ NGHĨA XÃ HỘI
CSCN	CỘNG SẢN CHỦ NGHĨA
ĐBP	ĐIỆN BIÊN PHỦ
ĐBQH	ĐẠI BIỂU QUỐC HỘI
ĐNA	ĐÔNG NAM Á
ĐTD	ĐẠI TÂY DƯƠNG
ĐTDĐ	ĐIỆN THOẠI DI ĐỘNG
ĐTQG	ĐỘI TUYỂN QUỐC GIA
GTVT	GIAO THÔNG VẬN GIẢI
HBT	HAI BÀ TRƯNG
HĐH	HỆ ĐIỀU HÀNH
HĐQT	HỘI ĐỒNG QUẢN TRỊ
HLV	HUẤN LUYỆN VIÊN
HTCC	HUYỀN TRÂN CÔNG CHÚA
HTX	HỢP TÁC XÃ
LHQ	LIÊN HIỆP QUỐC
LTHG	LÊ THỊ HỒNG GẤM
NKKN	NAM KỲ KHỞI NGHĨA
NTMK	NGUYỄN THỊ MINH KHAI
NVC	NGUYỄN VĂN CỪ
PGĐ	PHÓ GIÁM ĐỐC
SCN	SAU CÔNG NGUYÊN
SĐCT	SƠ ĐỒ CHIẾN THUẬT
TBCN	TƯ BẢN CHỦ NGHĨA
TBD	THÁI BÌNH DƯƠNG
TBN	TÂY BAN NHA
TCN	TRƯỚC CÔNG NGUYÊN
TĐKT	TẬP ĐOÀN KINH TẾ
TGĐ	TỔNG GIÁM ĐỐC
TP.HCM	THÀNH PHỐ HỒ CHÍ MINH
TPHCM	THÀNH PHỐ HỒ CHÍ MINH
TTCP	THỦ TƯỚNG CHÍNH PHỦ
UBND	ỦY BAN NHÂN DÂN
UVTT	ỦY VIÊN THƯỜNG TRỰC
XHCN	XÃ HỘI CHỦ NGHĨA
