ADV	AN DƯƠNG VƯƠNG
BHTQ	BÀ HUYỆN THANH QUAN
BMVNAH	BÀ MẸ VIỆT NAM ANH HÙNG
BRVT	BÀ RỊA VŨNG TÀU
BTX	BÙI THỊ XUÂN
CBQ	CAO BÁ QUÁT
CMT8	CÁCH MẠNG THÁNG TÁM
ĐBP	ĐIỆN BIÊN PHỦ
ĐBQH	ĐẠI BIỂU QUỐC HỘI
ĐNA	ĐÔNG NAM Á
GTVT	GIAO THÔNG VẬN GIẢI
HBT	HAI BÀ TRƯNG
HĐQT	HỘI ĐỒNG QUẢN TRỊ
HLV	HUẤN LUYỆN VIÊN
HTCC	HUYỀN TRÂN CÔNG CHÚA
HTX	HỢP TÁC XÃ
LHQ	LIÊN HIỆP QUỐC
LTHG	LÊ THỊ HỒNG GẤM
NKKN	NAM KỲ KHỞI NGHĨA
NTMK	NGUYỄN THỊ MINH KHAI
NVC	NGUYỄN VĂN CỪ
PGĐ	PHÓ GIÁM ĐỐC
SĐCT	SƠ ĐỒ CHIẾN THUẬT
TBN	TÂY BAN NHA
TGĐ	TỔNG GIÁM ĐỐC
TP.HCM	THÀNH PHỐ HỒ CHÍ MINH
TPHCM	THÀNH PHỐ HỒ CHÍ MINH
TTCP	THỦ TƯỚNG CHÍNH PHỦ
UBND	ỦY BAN NHÂN DÂN
UVTT	ỦY VIÊN THƯỜNG TRỰC
